OBJECTID,CITY,MUNITYPE,CR_PNIM,DISTRICT,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,YEARMONTH,ACC_INDEX,SUMINJ_AGE
1,Abu Ghosh,local council,472,Jerusalem,115,0,4,139,19,25,93,15,143,199,13,6,6,140,165,202007,60.807,133
2,Abu Sinan,local council,473,North,284,1,11,509,34,136,358,23,521,482,15,9,12,377,413,202007,42.416,517
3,Even Yehuda,local council,182,Central,270,3,12,341,39,56,255,38,356,522,35,15,8,394,452,202007,32.666,349
4,Umm al-Fahm,City,2710,Haifa,1063,5,41,1697,197,476,1170,59,1743,1801,70,62,13,1267,1412,202007,40.84,1705
5,Ofakim,City,31,South,313,3,13,388,65,81,274,44,404,513,10,13,26,346,395,202007,30.156,399
6,Or Yehuda,City,2400,Tel Aviv,1053,6,44,1243,177,169,959,124,1293,1870,220,59,46,1202,1527,202007,158.022,1252
7,Or Akiva,City,1020,Haifa,413,2,25,493,81,94,345,65,520,696,18,22,53,484,577,202007,74.468,504
8,Azor,local council,565,Tel Aviv,302,2,11,342,44,43,273,29,355,513,82,14,17,301,414,202007,136.265,345
9,Eilat,City,2600,South,1393,5,52,1671,270,295,1203,151,1728,2357,284,42,217,1211,1754,202007,13.839,1649
10,Iksal,local council,478,North,232,0,21,335,41,89,249,16,356,392,12,13,5,277,307,202007,25.482,354
11,al-Batuf,regional council,5565,North,59,1,5,77,14,28,53,2,83,91,1,2,2,66,71,202007,15.323,83
12,al-Kasom,regional council,5569,South,91,8,11,148,16,35,118,10,167,156,2,8,3,100,113,202007,2.351,163
13,Alona,regional council,5545,Haifa,70,6,9,137,1,33,113,6,152,139,5,10,2,95,112,202007,2.59,152
14,Elyakhin,local council,41,Central,31,0,3,34,6,8,22,6,37,50,3,2,2,30,37,202007,18.353,36
15,El'ad,City,1309,Central,381,1,12,481,101,150,302,21,494,651,56,19,42,399,516,202007,109.245,473
16,I'billin,local council,529,North,458,6,17,874,29,180,669,45,897,837,10,21,2,639,672,202007,37.903,894
17,Ashdod,City,70,South,6012,20,118,8095,937,1285,5996,772,8233,11279,518,436,396,8237,9587,202007,94.092,8053
